source,neighborhood,price,covered_m2,ambientes,bedrooms,url,captured_at,price_per_m2
mercadolibre,Agronomía,75000.0,46.0,2,,https://departamento.mercadolibre.com.ar/MLA-2061574437-departamento-venta-2-ambientes-terraza-agronomia-_JM,2026-09-16 21:47:36.885386+00:00,1630
mercadolibre,Agronomía,99000.0,40.0,2,,https://departamento.mercadolibre.com.ar/MLA-3853635384-departamento-en-venta-en-agronomia-capital-federal-buenos-aires-_JM,2026-09-16 21:47:36.885386+00:00,2475
mercadolibre,Agronomía,91300.0,37.0,2,,https://departamento.mercadolibre.com.ar/MLA-3720472168-departamento-en-venta-villa-urquiza-2-ambientes-_JM,2026-09-16 21:47:36.885386+00:00,2468
mercadolibre,Agronomía,151800.0,56.0,3,,https://departamento.mercadolibre.com.ar/MLA-2898481296-agronomia-venta-3-amb-de-pozo-71m-con-vistas-increibles-a-agronomia-_JM,2026-09-16 21:47:36.885386+00:00,2711
mercadolibre,Agronomía,76900.0,31.0,2,,https://departamento.mercadolibre.com.ar/MLA-1862537615-departamento-en-agronomia-_JM,2026-09-16 21:47:36.885386+00:00,2481
mercadolibre,Agronomía,63300.0,26.0,1,,https://departamento.mercadolibre.com.ar/MLA-2898455594-agronomia-venta-1-amb-de-pozo-30m-con-vistas-increibles-a-agronomia-_JM,2026-09-16 21:47:36.885386+00:00,2435
mercadolibre,Agronomía,82900.0,30.0,2,,https://departamento.mercadolibre.com.ar/MLA-2689971390-agronomia-venta-2-amb-de-pozo-76m-con-vistas-increibles-a-agronomia-_JM,2026-09-16 21:47:36.885386+00:00,2763
mercadolibre,Agronomía,51000.0,21.0,1,,https://departamento.mercadolibre.com.ar/MLA-1742585203-venta-1-amb-lateral-luminoso-en-agronomia-_JM,2026-09-16 21:47:36.885386+00:00,2429
mercadolibre,Agronomía,119000.0,45.0,2,,https://departamento.mercadolibre.com.ar/MLA-3637009642-venta-de-departamento-en-agronomia-_JM,2026-09-16 21:47:36.885386+00:00,2644
mercadolibre,Agronomía,65000.0,35.0,2,,https://departamento.mercadolibre.com.ar/MLA-2014482895-venta-2-ambientes-con-balcon-en-agronomia-_JM,2026-09-16 21:47:36.885386+00:00,1857
mercadolibre,Agronomía,138300.0,56.0,3,,https://departamento.mercadolibre.com.ar/MLA-2898637042-agronomia-venta-3-amb-de-pozo-71m-con-vistas-increibles-a-agronomia-_JM,2026-09-16 21:47:36.885386+00:00,2470
mercadolibre,Agronomía,89000.0,39.0,2,,https://departamento.mercadolibre.com.ar/MLA-2805024594-departamento-en-venta-en-agronomia-_JM,2026-09-16 21:47:36.885386+00:00,2282
mercadolibre,Agronomía,365000.0,121.0,4,,https://departamento.mercadolibre.com.ar/MLA-1904431733-departamento-a-estrenar-4-ambientes-agronomia-_JM,2026-09-16 21:47:36.885386+00:00,3017
mercadolibre,Agronomía,265000.0,88.0,3,,https://departamento.mercadolibre.com.ar/MLA-3628730420-departamento-3-ambientes-a-estrenar-_JM,2026-09-16 21:47:36.885386+00:00,3011
mercadolibre,Agronomía,355000.0,121.0,4,,https://departamento.mercadolibre.com.ar/MLA-1904432221-departamento-a-estrenar-4-ambientes-agronomia-_JM,2026-09-16 21:47:36.885386+00:00,2934
mercadolibre,Agronomía,270000.0,93.0,4,,https://departamento.mercadolibre.com.ar/MLA-1904432887-departamento-a-estrenar-4-ambientes-agronomia-_JM,2026-09-16 21:47:36.885386+00:00,2903
